iter	Logloss
0	0.4355390591
1	0.2761009124
2	0.1740358468
3	0.1149669259
4	0.07840706933
5	0.05494260367
6	0.038735111
7	0.0284533997
8	0.02239517838
9	0.01734165338
10	0.01451119322
11	0.01239260088
12	0.0104207529
13	0.0091252148
14	0.008106123402
15	0.007294412636
16	0.006910237293
17	0.006496821376
18	0.006114315537
19	0.005800605833
20	0.005489855578
21	0.005148397994
22	0.004927659261
23	0.004704027842
24	0.004474277171
25	0.004233677942
26	0.004120639096
27	0.003927197712
28	0.003747466192
29	0.003600493913
30	0.003411844131
31	0.00333455972
32	0.003281602943
33	0.003198036185
34	0.003085091013
35	0.002967246208
36	0.002837882753
37	0.002722654793
38	0.002608587963
39	0.002532362305
40	0.00246147209
41	0.00239031282
42	0.002321452899
43	0.002252513148
44	0.002147459978
45	0.002095005539
46	0.002027396835
47	0.001954393306
48	0.001913665239
49	0.001849249183
50	0.001794146803
51	0.001740003689
52	0.001714927536
53	0.001669515267
54	0.001613674263
55	0.001562225684
56	0.001528988107
57	0.001494895647
58	0.001457134658
59	0.001413779397
60	0.001374209299
61	0.001332660924
62	0.00128652622
63	0.001265307277
64	0.001231634198
65	0.001182944354
66	0.001127264615
67	0.001098061313
68	0.001045667549
69	0.001025528659
70	0.0009971596807
71	0.0009712723385
72	0.0009578897278
73	0.0009377920431
74	0.0009122777757
75	0.0008986176733
76	0.0008714464433
77	0.0008555009713
78	0.0008412090515
79	0.000829628882
80	0.0008069413323
81	0.0007957704153
82	0.000782792114
83	0.0007671257715
84	0.0007570720697
85	0.0007442718161
86	0.0007277883131
87	0.0007085887589
88	0.0006983373172
89	0.0006655924871
90	0.0006513658745
91	0.0006371686013
92	0.0006271630759
93	0.0006138355663
94	0.0006038025071
95	0.0005986887314
96	0.000587930086
97	0.000580236288
98	0.0005733350891
99	0.0005654636376
